pl_name,hostname,pl_orbper,pl_rade,pl_bmasse
Kepler-282 c,Kepler-282,13.638723,1.2,1.87
Kepler-284 c,Kepler-284,37.514456,2.61,7.32
Kepler-1098 b,Kepler-1098,2.54307286,1.3,2.24
Kepler-584 b,Kepler-584,35.1810304,4.21,16.5
Kepler-275 b,Kepler-275,10.300682,2.34,6.08
Kepler-23 d,Kepler-23,15.27,2.206,4.44
Kepler-167 e,Kepler-167,1071.23205,10.16,321.00669
Kepler-409 b,Kepler-409,68.9583216,1.199,6.0
Kepler-414 b,Kepler-414,4.7,1.71,3.5
Kepler-327 d,Kepler-327,13.969457,1.73,3.64
Kepler-904 b,Kepler-904,3.02166863,1.77,3.78
Kepler-622 b,Kepler-622,14.28226676,2.13,5.18
Kepler-901 b,Kepler-901,3.51749439,1.37,2.45
Kepler-53 c,Kepler-53,38.5583038,3.17,36.0
Kepler-352 c,Kepler-352,16.332995,1.24,2.07
GJ 143 b,GJ 143,35.61253,2.61,22.7
HD 23472 b,HD 23472,17.667087,2.0,8.32
TOI-1136 c,TOI-1136,6.2574,2.879,6.32
TOI-1601 b,TOI-1601,5.33175,14.199,387.0
K2-324 b,K2-324,3.262,2.43,6.48
K2-219 b,K2-219,3.901287,1.348,2.38
NGTS-9 b,NGTS-9,4.43527,11.994,921.707
Kepler-1190 b,Kepler-1190,10.45843441,1.33,2.33
Kepler-1716 b,Kepler-1716,35.58100128,2.425,6.46
Kepler-1726 b,Kepler-1726,18.39629936,2.509,6.84
Kepler-173 c,Kepler-173,8.005777,2.43,6.48
Kepler-1698 b,Kepler-1698,1.2107,1.073,1.25
Kepler-1809 b,Kepler-1809,3.7572999,1.513,2.9
Kepler-1206 b,Kepler-1206,1.21699766,1.64,3.33
Kepler-660 b,Kepler-660,9.27358194,2.57,7.13
Kepler-124 c,Kepler-124,13.821375,1.75,3.71
Kepler-1245 b,Kepler-1245,4.35409304,1.44,2.67
Kepler-623 b,Kepler-623,9.07097734,3.01,9.32
